channelId,title,description,publishedAt,viewCount,subscriberCount,videoCount,topicCategories,country,period_views,period_comments,period_video_count,most_common_video_category,most_common_video_category_name,subs_processed,commenter_count,sub_count
UC1Ou_J5eSfdeXsGKogXviDg,deMiko,,2017-06-27T14:58:47Z,19475222,156000,55,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Humour']",LT,378591,605,9,23,Komedijos,True,476,19397
UC1YxybOuX74IVYTubk8JvBA,DDrive,"Apie automobilius, automobilius ir dar apie automobilius :) ",2015-09-07T16:33:07Z,14209655,74800,387,"['https://en.wikipedia.org/wiki/Vehicle', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",LT,357770,484,28,2,Automobiliai ir transporto priemonės,True,240,444
UC27kQkmlXN14WZFaYK3OSkw,BaltaLietuviS," - Zinokit pats ahujiel kai suzinojau kad toks esu. :D

mane rasite facebook: http://facebook.com/real.baltalietuvis
Turi klausimu ar pasiulymu bet noretusi anonimiskumo? Klausk : www.ask.fm/FroterLT",2015-04-23T12:13:51Z,4512476,20800,1154,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],LT,274133,1894,67,10,Muzika,True,812,3979
UC2WIVF_mLli_L7aTu5P7bBw,Enoxas,"Labas visiems! Šiame kanale įkeliu šmaikščius vaizdo įrašus, kuriuose žaidžiu žaidimus, darau parodijas ar atpasakoju kokią tai įdomią istoriją. Viskas maždaug susiję su žaidimais, filmukais ir panašiai. Tad jeigu tave tai sudomino, nepamiršk paspausti varpelio ir prenumeruoti mygtuko! :D

Business Inquiries: enoxsfan@gmail.com (El. Paštas bendradarbiavimui) ",2014-10-29T12:02:59Z,39726066,72900,481,"['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game']",LT,1173207,2806,45,20,Žaidimai,True,1123,4724
UC2Wz6pfNFWpGcVYdq1QHTGg,Fuxeris,Email for advertisement purposes and collaboration - fuxeris.business@gmail.com,2014-12-03T15:39:23Z,6089309,32200,443,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",LT,755357,1596,77,20,Žaidimai,True,699,3694
UC2YJqEBVKtrez-2D_imQ5xg,On1Beat,House Music Producer& Dj,2013-12-09T22:25:12Z,10799141,21700,39,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Pop_music']",LT,997399,555,5,10,Muzika,True,242,1809
UC34HdjDzZQaB1yvcP1mkqcw,Danieliusnet,"Danielius.net jau nuo 2008 metų rengia video reportažus iš visos Pietų Lietuvos, ypač – provincijos miestelių ir kaimelių. 
Jei turite galimybę, paremkite finansiškai:   https://contribee.com/danieliusnet
Ačiū.
",2009-06-01T14:33:38Z,35424163,24200,3545,['https://en.wikipedia.org/wiki/Music'],LT,1881539,1169,204,22,Žmonės ir tinklaraščiai,True,354,894
UC3AIq3_6PilrTnMg5rTwncg,ŽVEJO KELIAS SU RIČARDU,"Kanalas skirtas žvejams,tiek mègèjams,tiek profesionalams.Jaigu norite žiūrėti ilgesnes laidas prisijunkite prie Contribee https://contribee.com/zvejo-kelias
Reikia žūklės prekių,užeik į parduotuvę zvejokelias.com 
Žvejojam ir vasara ,ir žiema!
Turite noro pasireklamuoti,ar paremti mus,kreipkitės: zvejokelias@yahoo.com, 868447331",2017-12-28T16:13:19Z,6746739,18700,752,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']",LT,769111,5118,129,22,Žmonės ir tinklaraščiai,True,1889,3827
UC3AnPfSXw9th62F5P32Jwjg,DEPRESINIS,,2017-12-02T22:18:12Z,8729976,18700,78,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",LT,311752,369,7,10,Muzika,True,221,1280
UC3di3V-QXNXVOmOYrzw7NfA,Įdomioji Dokumentika,"Sveiki atvykę į Įdomiosios Dokumentikos kanalą. 
Įdomioji Dokumentika yra mano hobis. O jūsų palaikymas ir noras pažinti mus supantį pasaulį, verčia mane tobulėti ir nesustoti ties tuo, ką aš darau. 🙂

Šiame kanale galite rasti įvairiausių video: nuo įdomiosios Lietuvos istorijos, paslaptingų nutikimų iki mokslo sunkiai paaiškinamų dalykų. 🔭

Ačiū, kad užsukote. 
Nepamirškite užsiprenumeruoti mūsų kanalo. 
O dabar, iki susitikimo, kitame Įdomiosios Dokumentikos video. 🙂",2019-01-23T07:54:46Z,8357029,49100,227,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Knowledge']",LT,565616,996,32,27,Švietimas,True,554,10803
UC3JxzJVewryyPRq-fxJ_xPA,Popkultūra,,2008-11-25T19:54:55Z,16716833,17500,63,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music']",LT,654798,165,4,10,Muzika,True,116,1143
UC3VYJScZFP-abuT_Dc1vYng,Žaidimų Balsas,"Žaidimų naujienos iš viso pasaulio. Tikrų ""Geimerių"" kanalas. 
Turite kokių pasiūlymų Žaidimų Balsui - rašykite mums adresu admin@zaidimubalsas.lt. 
Norite padėkoti ir prisidėti prie tolimesnio Žaidimų Balso augimo? Paremkite projektą - https://www.paypal.me/zaidimubalsas
AČIŪ, kad esate su Žaidimų Balsu ;)

",2011-03-14T17:52:15Z,16503930,76600,1898,"['https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Entertainment']",LT,1088071,5254,88,20,Žaidimai,True,1671,10016
UC4KnMZaxcv1KZDAJsgHXcOA,Lietuvos nacionalinis radijas ir televizija,"Oficialus LRT YouTube kanalas: nuo mėgstamiausių laidų ir išskirtinio turinio iki EUROVIZIJA.LT dainų.

https://www.lrt.lt/",2009-10-22T10:53:09Z,292617717,206000,40934,"['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']",LT,1198351,1661,151,25,Naujienos ir politika,True,894,12861
UC54OBiaV7RctGSFJb9EEdbw,15min,"15min  – oficialus portalo video kanalas. Žiūrėkite, prenumeruokite ir dalinkitės!",2006-10-31T11:46:19Z,102081415,113000,12601,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",LT,3250608,10077,282,25,Naujienos ir politika,True,4001,8590
UC5EnP1BsbglaAcf3kXDbkCw,Husarai Official,"Koncertų užsakymas Mob. tel.: +370 673 16517
facebook.com/HusaraiOfficial",2015-01-22T11:41:19Z,24657562,20100,36,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music']",LT,337713,171,3,10,Muzika,True,95,952
UC5IzAroYmQ6FjU0G2w_9Ccg,Komentaras TV,"Komentaras TV žiūrint galima sužinoti daug daugiau ir būti informuotam, o tai reiškia - ginkluotam! Turite teise žinoti daugiau.

Neprikausoma spauda (Free press) Laikraštis ""Karštas komentaras""
Naujienų portalas norintiems žinoti kas vyksta,o ne kas atsitiko...
www.komentaras.lt",2010-07-19T08:39:47Z,37634714,51500,1666,"['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']",LT,7483514,46570,312,25,Naujienos ir politika,True,5377,6895
UC5M8DYSnXiz8GarqeHcT8RQ,Insane Lukas,"Follow my journey : https://www.facebook.com/officialLukasSmagurauskas/
Instagram : https://www.instagram.com/insane_lukas/",2014-10-20T12:49:28Z,3294194,21500,291,"['https://en.wikipedia.org/wiki/Physical_fitness', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Health']",LT,136136,876,14,17,Sportas,True,364,4027
UC5_-x4ZlNgrI3Gzf9uDkW_A,InfamousJJ,"Household Name

For business related inquiries: infamousjj@amg.gg",2018-03-14T08:57:36Z,16890100,286000,42,"['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Strategy_video_game']",LT,1491307,1822,3,20,Žaidimai,True,1187,212
UC6rlTjdr8cqk4IJe1GoWukQ,PildykLT,"Čia tavęs laukia daugybė PILDYK YouTuber’ių nuotykių: Talžūnas, Stimo, Aqva ir Demino nuolat dalyvauja įvairiuose iššūkiuose, filmuoja vlogus, geimina, žaidžia kitus žaidimus, atsakinėja į aštrius klausimus, daro LIVE transliacijas ir kitus smagius video.

",2009-03-10T08:41:39Z,203416672,158000,2146,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",LT,16055447,21404,259,24,Pramogos,True,7387,8809
UC6vWEacEgwaing5dS47EKEw,Meskutis,Sveiki atvyke į mano kanalą! Šiame kanale pamatysite daug žvejybos vaizdo įrašu ir kitų video. 😁,2016-04-28T11:20:01Z,3756937,11800,1497,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Casual_game', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Pet']",LT,631781,2325,170,20,Žaidimai,True,748,2003
UC6YiCjXRKaKZjxANP1XSsgQ,Ilja Laurs,"Serial entrepreneur and investor with a history of establishing and growing nine-figure companies from scratch and multiple successful exits. Ilja currently chairs Nextury Group, overseeing a range of high-tech investment funds from venture capital for startups to hedge funds investing in global multi-billion dollar companies.

Ilja has received numerous accolades, including ""European Manager of the Year"" by the European Business Press Association, ""25 European Tech Leaders"" by the Wall Street Journal, ""Top 40 People in Mobile"" by Informa Telecoms and Media, ""20 Brightest Business Minds"" by the Baltic Business Forum, ""10 Start-ups That Will Change Your Life"" by TIME magazine, and ""Technology Pioneer"" by the World Economic Forum in Davos. As a respected thought leader, he frequently presents at major ICT conferences and is often cited in media outlets such as the Wall Street Journal, Forbes, CNN, CNBC, BBC, and Bloomberg.",2011-08-24T16:23:27Z,1069207,16200,185,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Society']",LT,371241,585,48,28,Mokslas ir technologijos,True,312,2805
UC7d2GUwPgJ8_3luxmIDm7QQ,Ignas Lelys,I’m ready – let’s do this.,2015-04-02T15:40:51Z,5322714,37500,65,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],LT,505547,1679,6,24,Pramogos,True,1504,5775
UC7pUm8XfQNzCGYbKvzbhoew,Ūkininkas Petras Šiaučiunas,,2012-02-10T20:47:00Z,37290311,73100,672,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Vehicle']",LT,6141230,8499,95,22,Žmonės ir tinklaraščiai,True,2748,11578
UC8eF_-Lc1ZZbav5-A8gAlPA,Robertas Mackevicius,"Kanalas apie tai, ko daug kas nežino...

Facebook puslapis: https://www.facebook.com/Lietuviškas-Orgonitas-Lithuanian-Orgonite-691080584272210/",2013-08-26T11:16:52Z,2643024,15400,806,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",LT,113694,1132,39,27,Švietimas,True,449,1883
UC962MKsp3HK-ker1plMA9NQ,Pralaužk Vieną Šaltą,"Pralaužk Vieną Šaltą - jau ketvirtus metus skaičiuojantis ir sustoti nesiruošiantis podkastas. Kalbėti vis dar neišmokom, bet jau ir nebežadam, kad išmoksim. Bet prižadėti, kad ir toliau išvysite daugybę įdomių, mažiau ar daugiau žinomų pašnekovų, mes galime. Neįpareigojantys pokalbiai, atskleistos paslaptys, daug nejuokingų ir juokingų bajerių visada lauks jūsų mūsų laidose! 
",2018-03-27T09:56:35Z,20284939,63600,382,"['https://en.wikipedia.org/wiki/Humour', 'https://en.wikipedia.org/wiki/Entertainment']",LT,2153663,2324,31,23,Komedijos,True,1286,14309
UC9iV_jDimIVtFhDbTwOE4BA,Manc Mantas,"Manc Mantas Unit RECORD LABEL!!!

Manc Mantas - mantasmantanas@gmail.com send tracks to this mail for upload

This channel is created for promoting all artist and all music styles! All music in this channel was upload with permissions from artists.

WHITELIST CONTENT!!!

SNAPCHAT - mancmantas

Submissions/Demos mantasmantanas@gmail.com

►ＬＩＫＥ
►ＣＯＭＭＥＮＴ
►ＳＨＡＲＥ
►ＳＵＢＳＣＲＩＢＥ

For COPYRIGHT ISSUES, please contact me via e-mail or facebook and your song/picture will be removed immediately✔✔✔
►(mantasmantanas@gmail.com)◄
►(https://www.facebook.com/mantas.manc)◄
",2013-01-07T20:42:15Z,293492426,373000,795,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",LT,1151883,118,37,10,Muzika,True,85,6514
UCA0W6g87xiDcL12w4v4VjaA,Dr. Tomas Ruginis,Asmeninis kanalas apie žygius ir nuotykius laukinėje gamtoje,2011-11-13T20:53:01Z,1731597,11500,125,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",LT,723336,2776,34,24,Pramogos,True,752,4531
UCA9SSzRNDGo6JrPAiKlDVvg,Šventinis bankuchenas,"Sveiki, Gintarai, ačiū, kad užėjote. Jei jūs ne Gintaras, tai tada ačiū, ne Gintarai, kad užėjote.",2013-01-08T10:00:48Z,16704144,52100,172,['https://en.wikipedia.org/wiki/Music'],LT,182500,580,14,23,Komedijos,True,328,6214
UCAfBxqDr55ui8TpG9NGSe8Q,Savo Varpinė,,2016-12-21T16:51:57Z,5431439,16500,800,"['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']",LT,253515,1340,54,25,Naujienos ir politika,True,429,3644
UCafZsPU4RRJcnife4DxIlBQ,Deep Russia HQ,"Deep Russia HQ — it's record label. 
All that the content is Deep Russia HQ original contents. 
",2017-11-27T09:55:48Z,95543014,162000,190,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Electronic_music']",LT,262396,253,65,10,Muzika,True,100,1192
UCAg0AYy46QFO7S_UPf99niA,Šeškės,,2015-08-27T11:26:08Z,35202167,22100,25,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",LT,2511101,396,1,10,Muzika,True,262,2023
UCatO2WWiSu2s1nV5QfyWv_A,A Team Comedy,,2022-07-18T11:06:29.489596Z,11761494,41700,118,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Humour', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",LT,3273446,3523,48,22,Žmonės ir tinklaraščiai,True,1628,9927
UCazByhbmztoIg6ZKeI25PGw,Martial Arts Journey with Rokas,"USDC Retreat registration open now!

https://www.usdchampionship.com/retreat

Support season 3 of USDC now!

https://www.usdchampionship.com/support

Exploring truth in martial arts and self-defense

Learn more about the Ultimate Self-Defense Championship: https://www.usdchampionship.com

Hi! My name is Rokas. I've been doing Aikido for more than 15 years, taught it and ran my professional dojo. Eventually I became disillusioned with Aikido and moved on to train combat sports such as BJJ, MMA and kickboxing. Now I am coming back to see one more time if Aikido can be made functional with the new knowledge I have from combat sports. I also question various martial arts and promote critical thinking in martial arts.

Check out my reality show Ultimate Self-Defense Championship where six martial artists compete in self-defense challenges: https://www.usdchampionship.com

#aikido #martialarts #bjj #mma
",2011-11-29T07:18:19Z,94845320,540000,710,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Mixed_martial_arts', 'https://en.wikipedia.org/wiki/Sport']",LT,11055590,27797,34,17,Sportas,True,14770,1713
UCbaJi_yC1xnDb8NKZZCjzKw,Agro Žmonės,"Šis projektas atsirado iš idėjos suburti technikos mėgėjų bendruomenę, tad  laukiame visų, neabejingų technikai!

Mūsų tikslas - kurti kokybišką turinį apie agro verslą. Esame didžiausia Fecebook bendruomenė nuo 2013 metų ( 82.8k) 
Taip pat mus galite sekti Instagram ir TokTok (nuorodas rasite žemiau). 

YouTube aktyviai veiklą pradėjome 2021m vasarą, ir panašu, kad visai neblogai sekasi… :)
 
Jei patinka mūsų kuriamas turinys, kviečiam PRENUMERUOTI mūsų kanalą. :)

Ačiū ir žiūrim! :)
",2015-01-13T21:09:52Z,4961477,16700,248,"['https://en.wikipedia.org/wiki/Vehicle', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge']",LT,1092632,1754,69,22,Žmonės ir tinklaraščiai,True,667,3170
UCBAsvVsiCA8V_gdcK9H_wug,ba.,Our fourth full length studio album out this winter. ,2010-03-09T17:27:43Z,6688030,16200,40,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music', 'https://en.wikipedia.org/wiki/Music']",LT,284118,136,3,10,Muzika,True,109,1762
UCBfH3ES1MSxx5PEa5vey2BA,Camiworld,"Surinkim 19k sub iki naujų metų🙏
Labas, labas, labas!
Mano kanale daugiausia dėmesio skiriu kriminalinėms istorijoms!  #baisiosistorijos #lietuviskai #baisiosistorijoslietuviskai #camiworld #istorija

Jeigu norite bendradarbiauti parašykite man:
Gmail: camiworld51@gmail.com
Instagram: kamilesvedaite
Tik Tok- kamilesved


",2019-04-26T10:49:15Z,3948548,18000,339,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],LT,533517,1621,30,24,Pramogos,True,521,2644
UCbFNeKuUvv7seF_FzcnQ5cQ,OpenPlay,"Record label/production house in Lithuania

Inquiries, bookings – bookings@openplay.lt
Music – music@openplay.lt",2019-02-17T18:45:46Z,126461405,49500,37,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Electronic_music']",LT,12734142,2035,6,10,Muzika,True,1304,4069
UCBMut_tSxuqtmQRNgkTIyWA,интерпретация ,"альтернативный источник интерпретаций официальных новостей, обзор текущих событий, анализ политических и экономических процессов 


",2020-09-29T11:06:04.800733Z,1880158,107000,136,"['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']",LT,447479,5369,35,29,Unknown,True,1165,1118
UCBs5dk42VN2vp94pGXabu5A,Stanislavas Stavickis (Stano),Muzika ir ne tik :),2010-03-23T13:18:00Z,43355260,37300,172,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",LT,1573865,307,3,10,Muzika,True,187,2331
UCByxMqoDp_8BJLjBLl27ofQ,Dovydas Šimašius,Mėgstu pagyventi miške.,2020-04-01T16:33:54.530412Z,1027637,18300,24,"['https://en.wikipedia.org/wiki/Tourism', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Hobby']",LT,609622,1803,11,22,Žmonės ir tinklaraščiai,True,982,6484
UCC9zTGIT11HXwGm_VBQFAqQ,Viktorija Rupeikytė - Victoria,Oficialus Viktorija Rupeikytė - VICTORIA kanalas.,2012-12-21T20:36:09Z,37648875,30100,39,"['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music']",LT,765732,447,10,10,Muzika,True,186,2399
UCCalAruxHTue9RLP4bJld5g,Alfa TV,Media Alfa.lt naujienų portalas vaizdo siužetai video ivykiai sportas krepšinis pramogos televizija,2009-09-08T11:37:31Z,12538725,10900,3000,"['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']",LT,424475,3294,41,25,Naujienos ir politika,True,1550,1355
UCcKEC_5VZfxu8Az6yMXTPEA,Mechanikas Lukas,,2012-03-19T21:08:54Z,12501358,30900,587,"['https://en.wikipedia.org/wiki/Vehicle', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",LT,312117,1364,40,2,Automobiliai ir transporto priemonės,True,420,5677
UCCvFgRQ1YYuhehXEfrnPbCQ,Furytto,,2020-06-15T00:15:54.668093Z,20495918,18600,20,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Pop_music']",LT,2675897,543,7,10,Muzika,True,346,2296
UCcvVfDUS3d13aB3ruwEUm_w,Simonas Dailidė,"Namelis ant vandens, ledinės maudynės, vw t3 autobusiukas, aktualijos, pramogos, provokacijos, menas, gamta. Apie viską ir apie nieką.

",2011-12-11T20:16:30Z,7190830,29000,659,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",LT,278861,382,47,22,Žmonės ir tinklaraščiai,True,175,5287
UCCX6462ljZ6VEZqwd-gg8gg,Augustas Šuliauskas,"Krepšinio analizė: komandų taktikos, žaidėjų sprendimai, įdomiausi deriniai.
",2011-05-30T12:21:28Z,1417138,19400,49,"['https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Basketball']",LT,1068277,3714,37,17,Sportas,True,1085,5926
